src,dst
0,1
1,2
1,4
2,3
2,5
3,12
3,22
4,7
4,6
5,15
5,19
6,8
6,9
7,10
7,11
8,27
8,32
9,13
9,14
10,17
10,23
11,30
11,101
12,20
12,21
13,45
13,46
14,16
14,136
15,18
15,115
16,26
16,180
17,25
17,219
18,96
18,97
19,71
19,78
20,47
20,48
21,56
21,34
22,24
22,281
23,170
23,171
24,31
24,79
25,362
25,363
26,28
26,29
27,39
27,40
28,33
28,35
29,36
29,157
30,89
30,90
33,64
33,65
34,53
34,54
35,37
35,38
36,41
36,42
37,67
37,72
38,60
38,61
39,183
39,184
41,50
41,68
42,43
42,44
43,49
43,80
44,55
44,73
45,187
45,188
46,51
46,52
47,110
47,111
48,58
48,59
49,108
49,109
50,98
50,99
51,224
51,225
52,91
52,57
53,112
53,113
54,66
54,107
56,132
56,133
57,62
57,63
58,74
58,75
59,130
59,131
60,77
60,242
61,92
61,106
62,105
62,149
63,252
63,253
64,69
64,70
65,83
65,84
66,160
66,161
67,94
67,95
68,87
68,88
70,85
70,86
71,76
71,123
72,324
72,325
73,93
73,162
74,100
74,104
76,141
76,142
77,81
77,82
78,137
78,165
79,322
79,323
80,390
80,391
81,166
81,167
82,134
82,135
83,102
83,103
84,117
84,118
85,190
85,191
87,273
87,148
88,158
88,159
89,279
89,280
90,138
90,139
91,119
91,120
92,316
92,317
93,124
93,216
94,185
94,186
96,143
96,144
99,114
99,129
100,214
100,215
101,125
101,126
102,257
102,258
103,116
103,140
104,150
104,151
105,121
105,122
106,127
106,128
107,299
107,300
109,226
109,227
111,154
111,155
113,256
113,315
114,311
114,312
120,394
120,395
122,354
122,355
123,318
123,319
124,197
124,198
127,163
127,164
131,247
131,248
132,152
132,153
133,181
133,182
134,146
134,147
135,254
135,255
137,156
137,203
139,398
139,399
140,352
140,353
141,178
141,179
142,236
142,237
143,145
143,189
145,286
145,287
146,193
146,194
147,176
147,177
149,341
149,342
151,276
151,277
152,174
152,175
153,168
153,169
154,201
154,202
155,267
155,268
156,282
156,283
161,172
161,173
162,296
162,297
166,208
166,209
167,250
167,251
172,204
172,205
173,343
173,344
174,199
174,200
176,206
176,207
177,192
177,240
178,228
178,229
179,259
179,260
185,294
185,295
187,356
187,357
188,364
188,365
190,269
190,270
191,217
191,218
192,245
192,246
194,195
194,196
196,222
196,223
200,261
200,262
201,358
201,359
203,238
203,239
204,212
204,213
205,332
205,333
206,380
206,381
208,210
208,211
209,336
209,351
210,249
210,298
214,347
214,348
215,307
215,308
216,220
216,221
217,290
217,291
218,337
218,338
219,263
219,264
221,396
221,397
222,234
222,235
223,230
223,231
224,360
224,361
226,232
226,233
231,326
231,327
234,345
234,346
235,313
235,314
238,243
238,244
239,241
239,278
246,274
246,275
247,349
247,350
248,288
248,289
249,265
249,266
250,374
250,375
255,303
255,304
259,392
259,393
261,271
261,272
265,309
265,310
266,284
266,285
269,386
269,387
277,301
277,302
278,330
278,331
282,292
282,293
289,370
289,371
298,328
298,329
300,320
300,321
301,305
301,306
313,378
313,379
314,334
314,335
318,382
318,383
331,384
331,385
335,339
335,340
337,366
337,367
340,368
340,369
354,372
354,373
359,376
359,377
384,388
384,389
